Mass (avg),RT (avg),10mM LG_unlabeled251,10mM LG_unlabeled253,10mM LG_unlabeled261,10mM LG_13C-labeled259,10mM LG_13C-labeled265,10mM LG_13C-labeled270
241.1192,8.73,1924271,2005293,1820801,1158202,1374933,604393
414.4184,1.99,2097018,2107214,1289464,2457597,2212328,2343401
612.1524,9.55,2259995,2123400,2253758,1123500,1629694,1132454
789.6024,1.77,1235999,1523082,1,1,1,1
418.3085,1.19,2902474,96258,72822,65601,64182,64008
776.6331,1.76,32688,1,38316,3695361,3459675,3500954
767.5434,1.77,4346348,4402824,4294257,2866578,2812462,2248095
725.5572,1.77,735117,799721,599134,5429106,5622559,5312289
741.5886,1.76,2837239,2695402,2574012,3735248,3334058,3825723
767.5461,2.18,3359665,3549218,3076931,2560408,2113085,2076825
276.1209,1.27,93623,102468,101947,108601,100765,103177
165.079,6.51,1365137,1411476,1304864,967534,1184713,707678
179.0795,8.06,1746546,1473524,626258,1630786,1472136,1663551
238.1419,1.78,1,1,1,1,401605,1
752.5831,1.76,236486,599791,298124,1,1,1
154.0801,5.68,556071,636638,205657,679063,740408,834841
145.1103,6.51,80860,101741,811944,112109,908214,952836
798.5882,1.76,1256378,1261130,1254052,4848721,4795703,4793116
677.4999,1.77,2310881,2456344,2249010,150928,140230,124753
257.1028,8.16,1966118,1940927,1857663,824949,1067893,565958
164.0437,9.22,2304271,2322119,2213949,755429,1327748,1739017
152.0829,5.46,991196,966006,940443,925320,1226023,1576598
715.5147,1.91,4704879,5186357,5002243,559777,840468,23201
161.1055,7.64,1332824,1326423,1250764,943869,1028134,645941
800.6459,1.76,168940,123464,111762,3264574,3301565,3187212
264.1048,6.94,1280014,1351687,1244006,852840,1121562,678298
386.387,2.6,1679282,1514020,1626788,1242719,1547226,1295894
227.1887,1.25,661705,300421,480476,284886,128208,180018
700.4028,6.8,2378541,2249375,2253697,1635633,2418716,1536210
798.6382,1.76,1,194603,189998,3496844,3254777,3214651
155.0695,8.56,1293571,1174087,1087855,857561,984400,593331
141.0191,8.59,799380,650550,1003449,746890,959428,745094
588.4538,1.19,84558,180121,102754,95482,134866,120534
307.0839,8.55,1579294,1899162,1596905,1192489,1,1
811.6009,1.76,2706706,2719789,2516985,3072328,2755919,2971837
412.4027,2.51,837504,1587084,1523446,751090,970283,1290492
438.3346,1.44,2261615,2218713,2177786,2177651,2145227,2092871
208.1465,1.25,645070,262042,417147,241208,107518,134287
366.2309,1.43,1,2019,1463500,1437,1339764,1355454
748.6045,1.76,178348,221195,184442,2839805,3128904,3042596
760.5033,1.76,1,142197,1,2398677,2264753,2236697
329.0649,8.38,1556619,1603437,1623259,392926,963232,816303
414.4183,2.5,1516748,1153492,1282977,1231336,1530564,1406381
760.6111,1.76,269686,97469,232619,2307321,2349105,2041193
119.058,7.75,921634,943477,866265,630095,846139,489544
782.6549,1.76,214119,217490,207432,3063877,2947794,2417052
296.1468,1.74,7209,8114,8594,7411,1,1
373.9316,9.67,1025121,852328,1015907,991189,847231,1023750
317.1333,8.58,913321,483588,204310,656949,739441,481537
765.5304,1.77,2374259,2211677,2293500,1087762,1100004,822960
428.3978,2.51,3252920,2793327,2835096,2741326,2920064,3199646
778.6423,1.77,1,1,1,2888012,2806914,2830740
726.5592,1.77,407930,413032,410006,2820263,2530537,2026948
796.6288,1.76,534146,585815,563164,4193135,4149495,4157175
767.6025,1.76,1776386,1814375,1766818,3033402,3153473,2418872
739.5724,1.76,614611,414316,486855,2546374,2507948,2107109
750.6107,1.77,1,55108,61465,2305652,2580339,2443906
750.5751,1.76,99399,1,1,2169654,2465353,2482116
802.6548,1.76,62548,19407,83321,2452649,2420251,2204822
743.5827,1.77,1,1011442,1493891,3264107,3343644,2714983
402.3821,2.6,1905052,1681629,1762969,1632081,1390732,1331637
155.0348,6.8,1005181,983654,923672,656872,1043603,619941
329.3295,1.98,1095560,1182102,1102592,1105854,1183769,1251509
160.1576,8.37,679289,845637,381789,243601,152720,66209
355.345,1.95,853247,1163992,1244462,1271101,1218805,1210559
811.6065,1.76,2405004,3224635,2303985,1714539,1772918,676835
1602.0253,7.13,1026604,1094542,1134290,1153799,1866723,1725986
684.4282,7.18,889545,946475,796886,220013,1966652,5908224
752.6182,1.76,11368,1,1,2191014,2895941,2129312
203.1155,7.06,1072950,1078900,884826,328962,392507,243494
754.6244,1.77,1,136507,1,2700488,2448758,2440609
499.3874,1.45,1599270,1631833,1472711,1526550,1558827,1569053
357.361,1.94,1177744,1429623,1171895,1308920,1426339,1461566
626.5268,5.62,1705845,1728150,1687485,461287,593818,554874
365.1369,8.4,973562,1022507,908459,549160,485882,323660
444.2257,1.33,1313200,1519305,1455067,1533968,1500366,1415298
145.1102,7.83,901840,804383,799250,605620,790105,393652
740.5757,1.77,389932,168270,368232,2394735,2468155,2342598
780.6477,1.76,1,1,28633,2094293,2088616,2280622
257.103,8.08,1141095,1264070,826549,290487,478308,310306
315.1565,7.97,942369,944182,937837,483178,578729,318696
699.5382,1.77,1,1,1,1740873,1903129,1804425
789.5515,5.58,2570061,2237718,2117095,862490,683438,895600
766.597,1.76,85178,1,1,2054263,2261665,1955939
717.5299,2.3,2636043,2546588,2478797,937755,876045,949859
794.6227,1.76,466908,482351,604168,2960288,2882935,2964999
208.0659,7.28,963368,938602,973728,768121,1917825,1102055
1930.0343,7.13,1150538,1186883,1231974,1260461,2018712,1848266
139.0608,7.23,988843,883583,1283576,1238644,1612475,831300
324.0353,8.26,930277,967464,939716,83604,86491,76915
161.069,8.06,700812,190872,1059575,803444,389603,465586
364.098,8.37,985041,776476,829503,1540772,695728,1615094
311.097,8.38,22771,30216,7266,1058379,1337239,852065
756.6289,1.76,1,192295,184071,1904080,1865577,1934404
1766.0307,7.13,1387077,1584330,1587164,1532186,2420003,2171230
233.91,6.8,884509,859305,737175,432300,1025173,390221
572.1799,1.22,1,1714,1481450,3997,1606923,1327950
210.162,1.34,845623,274307,499047,174665,138990,84855
429.3816,1.77,53824,1,1,15094,5109,3888
784.659,1.76,1,1,1,1933912,1779734,1895102
413.9461,9.67,640293,579793,625865,619880,759641,708044
719.5461,1.77,1430922,1721911,1626214,714754,599134,700409
282.168,1.78,1,1,1,1,1,1
174.1118,8.72,861061,855999,811358,751536,766669,716502
755.5438,1.76,1780712,1938480,1820227,4206719,4265986,4281163
673.1435,8.73,1,1,1,1277021,1340377,1022398
222.1467,1.39,889839,1062150,773201,1006930,1055563,967100
235.1606,6.35,1,1,1,757678,927000,509478
843.6466,1.8,834795,1446525,1401449,674746,555625,657930
194.1156,1.78,1,1,1,61743,36574,1
715.5147,2.31,1129960,2330330,1406026,431710,434345,405608
222.0564,1.21,43851,47900,52744,56729,57111,53196
404.0022,9.52,883396,911070,938443,253565,314940,199927
815.615,1.78,1235479,1255482,1337484,2039851,1204022,520937
398.1367,8.99,881765,915226,744848,59946,84418,41440
318.1428,8.37,526233,606681,697795,419370,458070,521064
530.4009,1.19,108332,116246,99592,41013,104965,99116
314.1421,8.54,1274381,547463,947967,433168,569941,250508
407.3012,1.25,479393,207591,341665,189776,94770,108584
452.3613,1.45,1162833,1266981,1124229,1222867,735667,271336
1399.0072,7.11,1898263,1883157,1959749,1992512,2488450,1399673
927.4749,14.21,1801639,1245996,1648865,1661296,884383,1832157
575.4032,1.35,40396,1,1,13147,7345,1
531.3774,1.33,7207,1,12446,14527,1,1
786.6634,1.76,629100,341984,343402,1447758,1391443,1447584
218.0661,8.08,1,1,1,650261,787552,529182
227.1886,1.34,892846,320007,589357,205162,158404,122807
715.5155,1.77,1315202,1296915,1210671,405001,394609,380968
394.3102,1.43,1269851,1571860,1262380,1089768,1366809,1313942
775.5862,1.77,580556,460988,557199,2385484,2347492,1
718.5724,1.77,1,1,1,1711432,1733318,1625059
444.4291,2.44,1425517,1226214,1329593,1280105,1223792,889286
804.6612,1.76,59909,45028,62717,1073835,1052834,760422
364.0981,8.21,574266,810972,731456,613261,673920,160777
363.0583,8.62,638973,671472,737217,78476,83667,95335
125.0146,7.19,669750,684084,588260,400528,433837,224171
812.6762,2.89,1913696,1926672,1736358,763329,727036,710643
386.3872,2.05,1184917,1138991,469091,876515,1165700,743599
590.3962,1.23,904984,997359,928550,1088239,884664,1067384
627.1868,1.2,55580,78978,80871,95277,101679,85720
183.0384,9.23,900955,683157,624688,532342,654887,970557
