Mass (avg),RT (avg),[Area] QC1-POS,[Area] QC2-POS,[Area] QC3-POS,[Area] QC4-POS,[Area] QC5-POS
164.0472,0.49,15163,15655,16023,19212,18673
165.079,0.8,1903411,2092431,2214737,2313535,2399128
165.1364,1.35,19174,17347,19303,15843,18396
167.1162,0.61,28303,25543,22167,19623,17234
168.0286,0.48,39797,49466,49668,46599,58589
168.0872,0.31,37658,33996,29700,34903,35751
169.0349,0.4,47207,45164,35074,47320,47823
169.0854,0.31,11444,2736,4355,2416,12490
170.0222,0.48,18547,24538,28479,24564,30833
170.1417,0.48,63416,53545,58002,53281,60387
171.0873,0.34,5144,4249,4523,4633,4419
171.1258,1.27,79374,83153,93164,92771,96025
171.1987,1.4,11431,7152,9851,9058,6851
172.0502,1.04,22110,22088,20260,22498,7575
172.1097,1.47,12376,29899,12549,26218,30406
172.1101,1.3,51422,35566,41670,39845,45425
173.1415,0.5,51347,37218,36817,40758,38006
173.1415,0.37,18998,13994,17569,21469,18118
173.9305,0.32,8535,9713,9638,8829,9376
174.008,2.67,4129,3341,3204,1888,2755
174.1118,0.31,31536,29932,41391,46195,42741
174.1257,1.33,59731,60671,52050,45646,48242
174.1257,1.41,55184,41270,37061,30818,35700
175.0593,0.54,14602,13783,10733,12040,11834
175.1063,0.79,335575,365255,408150,416350,436864
176.0474,1.66,5938,5617,4155,3810,4348
176.1051,1.38,22901,22215,20761,23153,24389
176.1418,1.5,109887,93051,88288,73843,87254
177.0512,0.31,14809,18061,17451,15816,12065
177.1267,1.26,213715,221187,211149,213786,211650
178.1206,1.29,31611,24045,26819,23756,25715
179.116,1.35,26203,19294,19414,16603,17119
179.1533,1.43,41745,28644,29967,25854,28012
180.0646,1.26,42612,34188,40465,40479,37829
180.0649,1.03,55449,49085,54480,51753,49151
181.0735,0.49,177507,184564,188947,203387,202647
181.0739,0.36,8045,11304,7884,10923,12333
181.1831,1.36,39543,30903,29370,32851,30778
182.0943,1.43,13306,14724,5751,1677,7405
182.1303,1.47,19591,9200,13291,8593,12141
184.1214,1.21,46348,38726,44325,28659,33078
184.1574,0.48,14201,12890,14251,14872,15148
185.1293,1.4,17972,19181,21053,23050,22851
185.2143,1.43,94347,65420,63088,57159,48186
186.0638,0.48,6520,5781,6132,5706,5665
186.075,0.3,17485,19393,22586,23132,23417
186.1366,0.7,220614,217870,206523,203916,207274
186.1369,1.17,63875,57138,62451,56684,57415
186.1372,0.48,8712,11114,7106,6802,7841
187.0637,1.26,103812,115128,112745,125500,135037
187.1575,0.36,8136,9673,8957,10889,11710
187.1575,0.6,19596,20322,23590,31775,32108
188.0728,0.29,3106,3329,2821,4684,4913
188.1426,1.63,25475,8284,16863,19069,16830
190.1208,1.34,222010,205672,164144,171233,154837
190.1209,1.53,26547,12034,8271,16165,12929
190.1566,1.67,9265,12732,12776,12062,12858
190.1573,1.59,77173,73075,66340,63849,63352
191.0948,1.42,5757,2870,2882,3258,4566
191.1008,0.49,28488,30871,31327,31503,37866
191.1311,1.33,234689,189371,2167049,2055793,1933340
192.1364,1.33,2981339,2645017,2380460,2408319,2194225
192.1478,0.35,16349,18667,17434,17534,20000
193.0247,0.36,8619,6340,23247,6145,23950
194.0801,1.36,5999,4080,3256,4383,2207
194.0806,1.31,66269,51289,46389,42970,42857
194.1153,1.25,79551,83040,77197,77378,65655
194.1411,1.33,83143,57482,61874,19194,46096
195.1375,0.36,27875,30002,21643,26684,29274
195.1468,1.3,25852,24686,22468,20507,21370
196.1099,1.49,64786,25316,70841,54570,30976
196.1464,1.75,16783,13087,7764,14583,5048
197.1778,1.62,13898,13814,12487,10714,13382
198.1619,2.89,36017,44242,47908,19546,20098
199.0974,1.26,47507,52064,56527,55947,59539
199.1575,1.48,23563,23992,27344,22541,16805
199.2299,1.45,5729,4424,4719,4583,10547
199.23,1.51,17240,12405,13281,11175,10757
199.2303,1.51,6997,11902,13095,10913,10547
200.1049,1.53,39524,80437,93547,76715,175162
200.1527,0.97,19086,37096,36147,34617,29667
201.1734,1.29,10213,11412,9346,11744,11303
202.0455,0.34,106674,160416,166577,157826,107755
202.1314,1.3,13215,14491,15128,15831,16495
203.1158,0.48,102681,61210,91923,93448,77850
203.1159,0.36,193111,169254,202633,192534,191255
203.9498,0.3,3268,3131,3200,4609,3964
204.0081,0.72,6697,9129,12009,11104,11819
204.0215,0.48,41023,47164,45153,52213,46535
204.0787,1.85,66625,58021,47517,41416,33647
204.0901,1.26,458534,499675,533207,566048,594662
204.1363,1.47,235085,195025,195138,186908,185837
204.1474,1.3,10445,9940,11665,11395,11330
205.1313,0.5,6386,5261,6698,6298,4578
205.1323,1.34,23467,17174,18159,20430,14253
205.8867,0.34,20590,26283,16758,19844,20595
205.8868,0.4,3820,6461,6923,5655,8666
206.133,1.24,17376,13928,13787,14426,13827
206.1519,1.43,268624,194175,192028,175570,161367
207.126,1.23,19376,28028,24897,25653,17622
207.1471,0.48,13406,12835,12881,12614,10791
207.1472,0.36,10601,9526,9007,10259,12052
207.1474,1.34,224154,197080,173956,170254,159099
207.1834,1.67,5167,4359,2372,4923,2993
207.1859,1.55,67845,54999,54609,45256,48940
208.086,1.38,19468,9843,9607,11802,7090
208.1466,1.75,9374,8642,6059,8149,4794
209.0536,0.48,18034,18898,18792,16288,19126
209.1629,1.33,1209031,1020886,966317,907953,870685
210.0884,1.47,10943,6468,9202,6560,6438
210.1018,1.54,9626,11184,9612,10943,8638
211.1423,1.25,21572,21908,21782,16426,22908
211.1672,1.33,18437,17387,13194,16777,18116
211.9386,0.49,10592,10367,10244,7126,8456
213.1474,0.49,19566,21422,15446,15863,17547
213.1478,0.31,22191,8649,9287,8696,9642
213.156,1,47693,50949,56937,63986,73721
213.1561,0.56,26690,26105,34052,36664,33868
213.1731,1.53,36602,32416,34324,25895,28610
213.2456,1.53,17118,9352,12274,17355,11841
214.0088,0.48,37372,48419,41571,58578,55342
214.1143,1.54,1037,40689,42380,65917,65039
214.124,1.61,18744,14512,37113,11855,40758
214.132,0.49,10530,10389,8722,8495,9001
215.1522,1.43,8602,7247,7747,4853,3696
215.1633,0.3,3714,4660,4556,4837,3535
215.9152,0.33,55583,54847,50026,56335,52846
216.0974,0.38,39600,46364,46363,41613,38139
217.1212,1.26,249693,274338,296679,315665,319844
217.1315,0.58,38009,35528,33821,35216,32617
217.1315,0.37,10848,11496,14167,13089,13186
217.9121,0.33,19725,20594,19681,19126,20450
218.0474,1.18,4499,787,7098,8290,7076
218.0754,0.31,8705,8779,7907,8514,8487
