Mass (avg),RT (avg),10mM LG_unlabeled251,10mM LG_unlabeled253,10mM LG_unlabeled261,10mM LG_13C-labeled259,10mM LG_13C-labeled265,10mM LG_13C-labeled270
300.0766,7.25,1550781,776543,397098,394722,285073,267367
884.5405,5.63,1176933,1197793,1145809,237498,208341,208690
165.0791,6.51,498245,513173,469918,344700,442308,233565
614.1045,8.88,597,1,1,887449,958106,684328
135.9021,5.46,682411,274193,343898,30012,156012,799766
256.8296,5.89,924474,844873,807598,540062,676027,658173
113.9929,8.31,171981,104974,90374,130932,127538,272546
177.9433,8.44,289636,336872,400820,403697,949215,813821
591.071,9.53,1,1,1,449057,599122,304527
2170.1132,7.14,540891,549446,576203,611916,986692,884444
224.0447,1.12,1,1,40446,1,1,1
340.9111,1.44,330304,57344,41801,54268,70118,824300
789.5492,1.74,587807,1081407,994231,318422,307055,308029
216.0402,5.58,289099,414413,373592,511463,1,616701
126.0065,9.24,243289,232232,216792,148358,230587,198279
836.541,5.77,599892,806280,929130,65873,125582,111305
264.0803,7.13,440019,437910,408813,248372,60255,338362
353.293,2.14,25341,66060,206293,196406,365054,582811
884.541,1.75,960791,1020501,957555,190871,174286,180329
93.0416,6.36,1,202518,1,48995,1,368994
182.0774,7.11,379521,333299,311823,317337,256943,239331
75.0312,7.23,520884,248069,715682,756856,408847,762353
224.0447,5.41,194753,103938,287967,220986,203630,180076
168.0731,7.24,152577,474588,389239,260601,306546,488656
101.0112,7.04,333354,107943,77737,213495,285878,45003
247.0371,8.4,377933,365811,315046,386641,488668,384420
762.5877,1.73,405161,376581,350005,279837,297588,268512
166.0481,1.23,22841,20985,29858,139906,71211,80036
448.0708,1.23,184625,134887,179553,356391,311583,203603
761.5203,5.63,796721,665419,736346,192572,153884,152562
130.0065,5.48,113483,221823,308385,128992,89743,277480
2006.1129,7.14,342270,366437,368452,383819,663329,601396
119.0485,7.25,354905,369681,59124,281074,392701,457232
304.0914,8.46,445662,473309,449488,174215,166836,111366
329.0512,8.27,13898,849,13942,345278,389164,278770
226.0695,1.23,22198,22954,12111,155257,81210,87320
175.0481,7.81,414397,382982,303959,68685,46719,26185
62.0276,7.05,185840,184636,115272,114952,51097,161486
326.1915,1.36,278915,179010,162956,183188,259118,208772
218.066,8.1,1,1,1,339958,389977,277321
266.1551,1.3,1,1,1,90437,95519,86441
743.5468,2.29,996750,963756,9000,289519,347029,410442
246.105,7.24,469090,213068,482791,508635,450200,478117
374.0182,7.11,422598,448511,413923,427812,245346,587511
222.0602,7.27,218896,129345,90444,153318,43561,61071
474.2898,1.24,516875,502304,532442,547138,467657,503712
921.0536,7.14,336594,346354,349241,361844,529669,493543
134.0215,8.19,254678,83898,105907,29503,81907,14038
320.1336,7.98,1523,1,1095,424436,441405,345105
258.8263,5.66,474304,510822,527142,506806,554397,562929
306.0757,9.57,1153840,1057755,1166646,789689,958910,749444
74.0002,7.05,196604,300825,115732,151424,123989,122800
131.0949,6.68,368795,368545,457969,348819,414795,154520
470.0366,7.19,541954,146928,826713,573882,1788180,464171
135.902,5.62,1,276381,378711,796959,98611,1
744.6123,1.73,671567,682412,689045,585663,619131,583014
204.8763,1.44,26423,5770,1861,3091,5054,380471
150.0622,7.21,20675,246604,591670,758794,255164,268825
310.0832,8.41,2619,1,1,303793,317252,22967
770.5572,1.73,1,1,1,489987,481091,485078
456.0212,7.11,388215,385037,193618,410713,219670,222800
306.0305,7.35,1,1,221502,1,1,1
129.0426,7.32,280274,307589,301227,209652,185385,110654
347.0733,8.17,599040,1582188,1678325,317031,380961,323504
256.8295,5.42,554554,560604,507152,1,454035,518089
122.0015,8.38,293275,240497,85834,140553,270176,178518
216.0402,6.91,249131,204801,301765,124034,173114,284043
752.5766,1.73,9350,10281,1,1,1,1
255.9753,6.82,352947,353117,329803,206680,423059,202792
115.9436,1.44,63127,21921,16832,17358,20539,311301
312.1761,1.37,216417,174088,128332,184218,265391,116061
538.0232,7.11,403765,422306,424098,306233,269645,226217
696.0771,7.14,398982,390221,391238,385029,335515,352539
300.0764,7.05,419645,847744,747937,349616,337732,269600
134.0217,7.96,778077,159672,811343,305717,492468,155514
196.0584,8.22,277219,292915,212357,39714,61109,165273
136.0374,7.55,290374,261624,259049,17015,22637,3891
861.5424,5.73,614960,651744,681216,1,175927,1
739.5151,1.73,557166,589406,569304,246265,234729,222091
134.0215,8.39,128363,180663,94850,38656,56964,47183
864.5697,5.73,517065,594155,440791,171246,290508,255183
794.5672,1.73,282484,284192,267283,536529,552707,535752
787.536,5.58,790682,783347,732178,214992,157085,174533
230.0039,8.58,326717,336414,333107,243984,260132,200546
776.5788,1.73,1,1,1,383946,382122,381255
206.8742,1.44,21600,4524,2942,2380,5837,374435
778.0803,7.14,487329,484007,492321,484430,414046,438329
794.5714,1.73,334964,328398,312063,565474,558060,523131
75.0311,7.04,75242,91943,173420,179524,52128,169468
761.521,1.75,535239,534686,519899,133840,134195,137900
196.0585,8.39,120126,312089,311798,263231,309010,185818
314.1199,7.97,301388,320392,353177,294133,350602,272794
258.8263,5.43,558780,503731,512449,717332,487571,664114
292.0148,7.11,372237,187139,355442,185048,149095,206318
503.2162,8.38,106451,99304,125048,160940,92327,182202
614.074,7.14,369464,365602,364566,227789,308869,326559
316.0826,1.25,34464,27288,32098,154919,90714,101437
256.8294,5.65,525956,491019,446882,37731,40638,397954
491.1759,8.38,83533,80810,99978,122736,68275,132630
180.9776,8.44,194501,232445,179583,77924,146746,145404
532.071,7.13,333680,341493,330852,350816,271059,289154
308.0351,7.14,302909,314146,284720,301715,340156,355908
134.0217,8.1,720238,57518,699170,78032,157731,225302
752.554,1.73,1,30049,28945,1,1,1
346.0833,7.13,290488,270084,298154,302213,205652,173979
776.5682,1.73,112312,101107,1,422066,403132,406862
858.5252,5.68,432299,458459,458786,78178,128421,94933
144.0288,7.15,243661,292493,302834,223660,106522,380020
298.054,1.23,7978,10146,9570,86030,42990,91431
353.9518,6.82,283639,284167,265214,150101,364284,142060
898.597,5.63,1,1,1,634060,494664,567985
106.0451,7.24,274651,142738,125949,96467,144248,62558
566.0549,9.07,350833,375093,353797,1,412,1
858.525,1.76,413243,458515,401827,28528,80317,69873
702.03,7.13,345465,211458,143381,373129,205086,421080
157.9982,6.96,52790,1,1,1,1,1
620.0266,7.12,349042,347074,355096,174094,238333,422050
75.9472,5.51,196895,98135,80975,221637,22269,212667
134.0216,8.79,150862,128786,117666,1,51805,43333
363.0575,8.63,203633,242669,291166,21046,26679,29168
195.9962,7.19,203191,120452,300953,47450,54359,93928
128.0086,7.18,31610,595525,376938,663225,880226,197477
762.5892,3.22,1017406,958088,876577,429480,375449,457016
450.0683,7.14,305512,295983,281271,283725,229483,245386
245.0298,8.4,300421,312588,226965,149480,207320,95341
208.0654,6.19,204781,228430,263794,276230,281152,289935
910.5564,5.63,701598,705934,678922,182817,81238,143958
207.0179,7.19,294304,283099,245082,154029,227572,104233
175.0451,6.19,259710,239593,228359,239910,253385,297675
428.0866,7.14,263830,255646,274671,257693,189863,209885
260.8235,5.88,361196,351237,173970,326598,108465,265236
186.0178,1.2,55281,91533,65340,60327,56276,66280
