Mass (avg),RT (avg),25mM LG_unlabeled254,25mM LG_unlabeled263,25mM LG_unlabeled266,25mM LG_13C-labeled262,25mM LG_13C-labeled264,25mM LG_13C-labeled272
135.902,5.62,252501,322711,298443,368629,376495,305442
744.6123,1.73,708175,664054,690013,621712,591396,9158
204.8763,1.44,3713,320603,2153,4919,2988,1
150.0622,7.21,210753,48547,14831,72731,296021,294192
310.0832,8.41,15933,1,7796,304703,406477,16531
770.5572,1.73,1,1,1,521933,493023,1
456.0212,7.11,398025,177257,393627,219274,396216,373546
306.0305,7.35,1,1,1,1,1,1
129.0426,7.32,305215,313239,334144,184681,124538,2601
347.0733,8.17,1679178,1480671,1736928,245664,311263,11726
256.8295,5.42,576905,507349,686056,523372,513901,268171
122.0015,8.38,196540,267753,236215,303632,256359,232448
216.0402,6.91,187535,350682,146415,245467,230261,138129
752.5766,1.73,1,1,11589,1,1,1
255.9753,6.82,242389,271939,318991,171565,225031,16298
115.9436,1.44,14539,298230,4939,22519,13617,4602
312.1761,1.37,374214,204983,372865,247348,224737,230884
538.0232,7.11,427554,411865,418446,423600,409033,421379
696.0771,7.14,400848,377556,395308,392267,397855,419285
300.0764,7.05,822219,727494,331972,316543,748762,306533
134.0217,7.96,216062,133918,316412,391790,577912,31316
196.0584,8.22,267881,282933,274658,1,48734,8240
136.0374,7.55,226486,241235,260795,2092,18646,1
861.5424,5.73,675518,686164,625089,1,1,2051
739.5151,1.73,601274,591272,567987,235113,238992,1
134.0215,8.39,1,51287,357809,48245,84194,14015
864.5697,5.73,510018,463306,472884,165544,151226,1
794.5672,1.73,294497,285259,295378,551626,550411,9520
787.536,5.58,760740,703245,615323,213430,210665,1
230.0039,8.58,422546,336742,353474,249250,250276,1
776.5788,1.73,1,1,63548,377433,362241,451
206.8742,1.44,3240,288102,1062,4344,591,1
778.0803,7.14,464741,485181,472405,491347,498318,523847
794.5714,1.73,327542,322984,323324,591457,592873,3968
75.0311,7.04,1,135957,21473,113527,153058,140275
761.521,1.75,561745,556737,540186,153396,131120,1
196.0585,8.39,165982,178850,211457,330805,253180,211386
314.1199,7.97,344550,179782,328177,287003,97740,833
258.8263,5.43,558939,528865,484129,357476,491021,450572
292.0148,7.11,356949,209765,184537,180440,187070,165818
503.2162,8.38,109662,105622,122198,178064,160730,457069
614.074,7.14,344602,359765,366487,371946,374932,399703
316.0826,1.25,144437,73932,169195,55595,57799,60868
256.8294,5.65,512946,516369,469987,498184,440834,529143
491.1759,8.38,79328,86746,86459,129597,119611,362652
180.9776,8.44,213533,40402,153307,103338,119484,100790
532.071,7.13,329179,338221,335074,335155,337856,374891
308.0351,7.14,304718,317954,310614,301524,273060,257396
134.0217,8.1,505256,406666,188198,130160,90627,15440
752.554,1.73,1,24367,27140,1,1,1
346.0833,7.13,274208,270069,275280,268762,299184,315162
776.5682,1.73,1,1,1,406103,407245,725
858.5252,5.68,531217,521508,467700,22457,92625,1
144.0288,7.15,235046,289516,357684,204367,256435,277501
298.054,1.23,113529,36319,115656,23975,57690,47975
353.9518,6.82,169258,117580,242000,110508,149936,6574
898.597,5.63,1,2316,1,651736,560009,1
106.0451,7.24,200881,191941,188347,265464,263867,73118
566.0549,9.07,354307,366477,361392,938,1,824
858.525,1.76,484258,464608,378180,87017,97177,2330
702.03,7.13,354464,240136,366747,181551,238839,340557
157.9982,6.96,1,1,1,6023,1,1
620.0266,7.12,361725,225815,356139,184273,341922,328506
75.9472,5.51,195274,247680,201608,115896,99997,107129
134.0216,8.79,208062,1,145610,51789,47684,5157
363.0575,8.63,243193,276924,336565,22133,25705,1
195.9962,7.19,19906,45904,78603,158835,55590,15909
128.0086,7.18,467436,832450,821492,205142,101577,326002
762.5892,3.22,934912,912487,975630,295999,440467,670
450.0683,7.14,170276,287267,297287,295439,293253,331152
245.0298,8.4,296310,274088,228048,109739,139721,2410
208.0654,6.19,199829,246826,246116,289294,308133,314473
910.5564,5.63,656006,647098,614227,183967,173552,18299
207.0179,7.19,243352,273844,280912,140734,207483,1
175.0451,6.19,276353,247702,252576,159219,285012,296664
428.0866,7.14,259298,253755,248089,263740,261439,297941
260.8235,5.88,372361,155913,285659,274431,279842,293444
186.0178,1.2,51710,113512,64649,59097,78860,98282
836.5402,1.74,244506,250933,249567,183611,155407,1
362.1946,1.25,301401,220531,295091,271939,297254,8421
79.9662,8.45,192430,175793,89855,154638,117930,64877
834.5263,1.74,342200,347801,476600,161601,133942,469
131.0497,7.32,10403,72964,78722,96464,97956,119011
787.5365,1.74,509462,507377,445496,162338,144785,1
170.9928,8.6,3343,8560,1820,136264,97008,410
134.0216,8.72,208062,1,222366,42519,52015,21158
340.2075,1.34,247247,117905,252659,150517,181050,122056
131.0948,6.73,610176,178975,237817,355295,121569,253
304.2404,1.29,149727,170998,191155,203205,206821,6933
741.5303,1.73,450190,449341,438720,247384,237424,1
150.0622,7.08,1,47938,14831,72675,173448,140584
122.0369,1.98,344962,129813,96549,182867,83464,200241
557.1717,8.1,382720,368672,366234,100206,242990,2059
130.0065,5.61,273785,302203,229141,272888,216554,216186
116.011,8.02,116413,204866,222907,70924,109640,3887
97.9769,8.69,1,1,1,1,35811,1
860.0823,7.14,353607,382088,382607,358647,368863,333640
143.9827,6.81,195873,230027,132092,151485,68390,21050
746.559,1.73,245141,232411,244089,1,1,1
820.5259,1.47,390047,391549,366554,118973,115935,1
789.5527,5.58,1466993,1498837,407879,809851,226770,11116
134.0216,8.99,113143,1,140260,59300,1,1317
152.0475,1.36,32718,20734,17503,14483,11042,7021
840.0373,7.16,150460,326940,322683,148303,188773,343134
299.966,1.32,1,2576,1,1466,4739,328
135.9018,5.44,117023,431757,707808,125767,354452,120087
89.0476,7.64,198146,206416,221982,71729,97114,330
758.0325,7.15,135400,121335,52544,174302,137470,167987
177.0548,7.9,1,1,1,157058,204286,4804
258.8265,5.32,230504,198252,189603,204057,189073,193159
256.8295,5.32,235123,213286,686032,183985,208597,206673
182.0773,7.15,122753,81575,67326,222283,393254,217121
837.5485,1.74,533661,318156,461527,183653,173042,1
830.6331,1.73,1,5994,1,395476,382550,1
216.04,6.75,195448,311152,222490,318667,213152,92019
689.5,1.73,323509,321614,319107,93799,93796,1
321.0694,8.73,84259,93771,163324,36968,46596,912
891.5726,5.63,1,1,1,437678,432874,1
1003.0549,7.14,439018,479576,447609,473875,450257,372277
748.1055,1.25,180249,150630,204910,150086,168122,68135
299.1217,7.76,255972,256242,243522,172867,204483,1
533.9889,9.68,78364,63699,101064,74430,93229,151319
317.1331,8.6,16160,56137,19757,79530,74920,330049
328.2399,1.29,149685,142610,164861,207427,194002,1
367.0566,1.24,39523,73864,58070,57404,91768,10809
512.0246,7.15,139435,137730,56571,134898,139165,136389
196.0584,8.68,1,112324,1,60333,1,33839
132.0035,5.46,6992,172210,339598,31991,175731,173509
128.0085,7.1,141241,161637,158945,168840,149794,149294
912.5704,1.75,392506,385864,346529,163679,165891,1
351.0765,8.17,1,2992,1,126169,144638,1
452.0939,8.1,157823,191987,181396,40152,45576,1
746.5095,1.72,1,1,1,349758,337701,2650
759.6003,1.73,1,1,70577,155440,1,1739
597.5327,1.25,305187,239215,307214,91450,81381,1
846.6894,1.73,99520,95919,81968,313331,314740,1011
93.047,7.23,122675,140052,150630,94343,145492,99093
912.5694,5.63,406242,375944,380200,161872,133393,9475
137.8991,5.48,29596,75201,24228,103970,150504,244959
182.0774,7.11,180388,370522,222471,159443,393300,235796
314.0515,8.38,192997,221163,250580,2437,3934,1
663.1083,8.75,265364,246579,225576,23161,22770,1
861.5386,1.77,246039,244825,261934,127045,113929,4935
192.0271,8.58,52750,110929,165093,112783,102746,47754
368.0747,8.63,575,1,1,97115,215444,1
779.579,1.73,47687,40471,47477,324031,323381,1
832.6393,1.73,6832,1,10279,383594,379172,838
216.0404,5.75,89524,72865,80879,97101,120476,106980
240.0016,6.82,159273,174326,193001,146931,158615,45632
180.0635,8.22,156565,157414,162094,98228,121870,1
260.0984,7.76,192502,194232,202502,119630,155350,1
374.0178,7.16,246176,180503,231723,431977,162499,398057
320.1021,8.38,25702,31611,26518,51399,52275,208691
258.8264,5.64,501369,440174,454298,458678,488762,351781
209.9418,5.64,203622,172377,143814,125319,139597,96159
216.04,8.22,161588,154673,145504,117686,129083,1
767.5451,2.22,187652,284620,347762,237846,218215,1
311.0988,7.22,212575,151575,174388,89735,144738,256
427.8457,1.44,4367,235071,1586,5513,3205,1921
289.0015,1.72,12622,19823,18040,20885,22914,1
541.0616,8.75,238461,204258,194862,21643,22181,1
800.0171,1.19,61600,79081,71828,75854,83083,42688
399.0329,8.51,192539,236804,237999,32456,51741,1
134.0216,9.13,1,1,1,1,1,1
219.1107,6.41,181633,177048,204023,113376,135349,1
801.5998,1.73,5034,5720,5142,354756,339272,1
896.5894,5.63,1,2103,1484,380137,376417,1
784.035,7.12,217385,212566,198791,210809,211051,207553
305.1418,7.76,217249,211465,202888,148636,169990,1
440.0931,8.4,76987,66096,57467,45091,78831,95059
360.0549,1.27,58090,34630,78229,31220,34108,19514
226.0696,1.35,85437,40385,120791,39707,49478,79117
406.1812,7.98,2927,366,2568,170655,224321,1
215.8873,1.95,9405,1,1395,945,1,358
770.5992,1.73,1,1,1,1,1,1000
130.0064,5.46,183788,171152,323659,523590,295725,302620
776.5557,1.73,224150,217042,216102,1,1,1251
299.9777,1.25,1,1,1,1,13587,1
374.0173,7.11,435938,246194,458199,446543,435825,411310
804.609,1.73,1,19981,16208,345402,307968,852
312.1759,1.56,338235,271010,177999,296354,156260,318599
586.0539,9.53,1,1,1,215831,259795,797
368.1606,7.25,57632,88114,98029,150948,160578,97543
841.5816,1.73,301275,286127,279927,128362,112632,1
1044.5613,7.14,173021,191906,188047,186529,181117,134997
117.079,7.08,148710,147866,171142,97358,118930,1
243.0874,8.76,1,177406,897813,61129,133225,1
896.5897,1.74,6263,8256,11111,247588,254897,1
422.2334,1.25,14506,5585,12599,11521,8661,3025
794.5832,1.73,268757,241359,253795,1,1,1
105.0425,8.03,158011,150032,147888,80051,93214,1587
226.0321,7.14,165403,194157,160066,104624,177556,151745
922.0402,7.16,192718,290176,292758,147112,303613,295393
774.5422,1.49,219173,220733,209903,51365,48258,1
942.0862,7.13,186767,184555,172963,171349,188604,194009
456.0207,7.12,398136,218355,185388,226822,191854,388883
311.0969,8.4,20371,1,20606,304764,414380,27653
901.6068,5.63,1,1,3163,401372,348776,916
75.0311,7.06,112422,41920,14831,72689,178784,140584
131.0695,7.68,140202,132618,149959,85105,107494,1
147.0532,7.32,157260,134056,142060,38076,50113,1
290.0945,7.05,140847,132326,143090,133451,140461,132675
867.5968,1.72,303890,290551,291557,1,1,623
130.0632,1.77,173380,133220,158510,88827,92103,453
843.5962,1.73,272731,254876,261162,1,1,766
134.0215,8.64,1,140013,1,1,1,12139
243.1835,1.25,144705,78908,84861,99014,45325,24593
368.0654,7.13,110572,119208,110537,121535,119838,143579
232.0891,7.23,167805,187582,170460,165009,85856,142223
209.9419,5.46,72322,47941,139918,78203,130144,28646
806.6166,1.73,11531,12920,1,294702,277643,1
192.0271,8.4,193023,89824,135627,73423,76057,35004
676.0323,7.17,105503,133525,139775,146871,136559,243813
319.0684,8.39,16211,10949,15363,180942,184893,1
798.587,1.73,26721,13905,16446,236458,244986,7348
132.0035,5.61,126405,147818,1,4095,99105,156917
222.0675,9.01,165550,155167,171168,82527,108063,1
808.6217,1.73,3523,4995,4394,183237,183861,674
326.1918,1.55,185399,212032,206480,17515,241352,254052
789.5296,1.73,1,1,1,1,1,1
745.5616,2.3,64072,315469,109706,339809,405691,1
374.0526,1.24,226736,183348,275474,196569,206309,89977
167.9826,8.6,94997,147611,143304,22283,25485,325
303.1625,7.08,174260,166782,172493,110467,143947,1
834.6475,1.73,1,1,5456,326337,294448,1
436.9648,1.25,41988,58198,55040,60649,57746,21529
593.0782,9.53,1,1,1,201206,238362,1
154.0077,8.17,142951,130745,140692,91295,118792,1914
891.5746,1.75,44365,37707,37275,316097,223662,9013
448.0643,1.23,316250,233897,325059,206339,254482,117567
747.5611,1.73,1,1,42825,247295,242344,1
861.5425,1.76,342286,277552,279426,40626,49536,3989
828.6265,1.73,4965,5395,1,303670,288590,1
538.0238,7.12,212922,411865,419952,235256,408989,420841
811.5352,1.74,217695,203456,179506,98302,91974,1
1842.1023,7.14,421243,463279,426702,443897,427668,374160
273.1053,6.19,172880,14819,80826,184486,65021,119672
429.8443,1.44,4627,208769,1728,575,3131,1162
62.0275,7.09,168678,60470,183276,1900,26978,46274
779.5683,1.73,19370,1,1,216714,220876,1
629.0633,8.9,189298,169682,187769,12020,1884,1
888.5699,5.63,215501,718799,673847,1,1,1645
594.0273,7.12,84093,89485,123893,199519,81105,79418
871.6122,1.73,1,1,1,126377,1,1
154.0492,5.46,12623,11379,59145,19589,48865,9677
216.0399,7.44,-4496,45589,1,5523,1,82294
899.6003,1.73,1,15213,1,288525,292864,1
118.0266,6.85,130417,119233,136585,80656,72166,17018
243.0872,7.98,166562,165953,161879,90286,107181,1
837.5523,5.46,533042,509310,462669,185287,225983,8586
1003.0643,7.14,440111,447867,427776,450465,429682,377313
310.1807,1.3,7770,63710,11358,11256,6982,5003
298.1601,1.4,134288,68049,130152,104210,100916,74138
1024.0887,7.14,182211,192824,182818,191030,182199,196115
801.5855,1.72,2538,1,1,190274,190637,1
788.6264,1.73,1,1,1,1,1,1
910.5575,1.75,280668,265689,241072,77462,55077,1310
702.03,7.12,423138,443338,419775,431250,444513,407215
378.0923,8.3,57586,47275,44307,53482,54317,6936
119.0485,7.05,106630,17743,25295,22131,101850,1
882.5253,5.66,253781,268909,256489,21169,25153,1
290.0946,7.3,50547,62144,41134,55719,32969,73366
202.0787,8.22,1337,3020,4500,153460,177542,2352
561.8818,1.44,51803,13547,25845,40833,261885,44615
839.5632,1.74,211276,198142,180819,1,1,1
1085.0565,7.14,430279,476617,447400,454629,443506,357063
314.1198,7.96,328491,339798,328150,286931,302871,794
367.0565,1.1,1,1,1,1,1,1
756.5891,1.73,3124,4400,4232,238295,242622,582
600.536,5.42,223354,257724,138347,213469,254175,149177
242.064,1.28,60704,29442,127089,25578,36661,46448
180.0631,6.83,68338,84771,63163,76244,56055,14938
105.07,8.39,62332,68239,69497,73314,81062,101174
440.0933,8.52,53030,178429,187382,77165,180309,170788
813.5505,1.74,272081,289615,253475,139281,136775,1
766.5858,1.73,1,1,1,265094,245825,1442
620.0262,7.12,409522,165268,428280,201556,412769,396372
169.0502,8.69,80403,95716,127972,47555,88309,1
167.0246,5.54,203246,220397,249306,7232,38576,1
866.5093,1.43,240439,232236,224739,132220,112908,1
301.0559,8.5,124668,137891,131055,21825,22638,1
204.0901,6.54,143051,102650,131267,81119,102609,1
774.5754,1.73,15026,1,1,1,1,1
316.0825,1.24,134368,73778,169099,55208,26722,21603
866.036,7.14,179775,173046,165984,177242,180583,156982
805.5835,1.73,170626,160436,168566,1,1,983
160.0386,6.81,18741,27957,14265,20859,29579,58992
92.0293,1.25,24392,21152,30609,16679,16474,5536
240.0847,8.32,1,1,1,1,1,1
914.586,5.63,271295,267647,250159,1,1,1
196.0585,8.97,1,1,90660,76657,35769,1
217.936,8.49,40393,55466,17942,81870,65013,124522
847.5773,5.77,1,1,979,114709,110389,1
246.1048,7.04,98158,40117,93015,123562,144555,141705
861.618,5.73,632896,623088,570504,104242,98385,1016
199.0824,7.09,128745,131625,143218,85576,106471,1
814.644,1.74,138722,137195,122337,1,1,1
728.5628,1.73,7304,7475,5827,177500,171478,736
758.5973,1.73,1,1,1,205273,220749,1
917.3776,7.98,148188,155782,157153,75212,114579,816
371.024,7.18,135985,141377,157262,82628,107453,1
513.8295,8.46,4904,22249,21406,34545,29058,53081
366.274,1.29,152612,82250,149718,91537,74904,78879
415.1096,8.57,48413,47501,37730,106802,15607,182607
858.5305,1.77,105534,162038,258446,51880,56391,3189
453.027,7.18,149010,148959,157246,87012,114678,1
196.0584,8.8,39185,93588,137909,51950,59148,1
774.5647,1.73,1,1,1,228579,240785,1134
166.0478,7.83,92767,103291,95071,10386,5547,3391
825.5506,1.73,1,1,1,140695,124802,1
136.0374,7.69,76412,113847,59542,2848,2812,1
133.0377,8.74,177094,64700,129862,54755,61431,7004
821.6431,5.85,35456,114325,80920,103678,106714,202780
894.5833,1.73,51683,53233,35627,168782,155343,1126
406.0798,8.45,1,2596,28712,169851,185348,1319
211.9382,5.64,168748,111608,105891,100283,87560,62806
720.4925,1.73,141769,130637,129788,31449,28481,1
811.5336,5.52,373243,275207,397155,177633,200624,1
293.0236,7.76,121827,129165,128519,75575,103613,1
620.027,7.11,361869,232463,356372,177361,341535,328115
151.0644,8.39,1,1,1,100873,120876,1
409.0742,8.41,1,1,7568,106947,114343,11388
901.6041,1.74,21994,17819,30538,256137,244666,1
337.9781,6.82,105450,117762,126221,71407,94848,15337
802.6079,1.73,2540,1,1,190274,190637,1
452.1335,8.41,94060,80786,59537,93671,84890,126583
768.592,1.72,1,1,1,205852,205701,1
616.1634,9.56,1,10687,13827,186814,188019,1910
149.0512,6.89,98210,84086,110847,67914,83401,1
427.0435,8.4,172945,131824,184115,172017,70747,3342
772.5648,1.73,1,1,1,285238,278723,1
266.0551,5.28,1,11741,57982,1,1,1
888.5575,5.63,696008,653281,616444,571898,538549,1
89.0476,7.68,197916,206419,222045,71575,97114,330
864.5696,1.77,353101,324327,338590,1,1,1
122.0368,1.99,345532,225555,88060,66172,29043,200241
759.5859,1.73,1,73586,39575,150861,151289,1126
434.0742,1.25,44976,35777,60428,27955,32867,8902
824.6133,1.73,14692,11764,13041,194253,214484,327
882.5263,1.76,220590,226407,236299,21088,22625,1
302.0585,1.71,59202,52780,37029,22199,35365,64720
869.6127,1.72,1,1,1,153466,151803,1202
737.4997,1.73,190163,196787,176978,51825,52746,1
295.807,1.44,1,114081,1,1,1,149
2130.0991,7.15,51838,82093,41003,83736,80060,80803
204.03,9.24,98328,145822,153840,64169,83316,1804
210.0117,7.11,78149,59219,32417,75113,80606,71339
835.5351,5.42,280033,281547,201310,67387,89037,1
135.9021,5.63,39696,322741,298481,368597,376480,277179
836.6543,1.73,3636,3164,1,194258,197784,1
260.8236,5.88,372360,300279,285677,274409,279845,293451
577.0926,9.07,1,1,1,141290,142913,1
607.0812,9.11,256509,203632,194621,4086,1,1
438.8096,1.44,6324,157252,5143,8001,5037,1297
1030.041,7.13,122318,125052,123464,123009,122980,113101
196.0587,8.57,1,107644,55323,27448,12409,33839
144.029,7.15,235046,255678,358051,230952,239561,207164
266.0825,1.71,48684,41714,48980,40879,42690,56589
260.8234,5.43,72094,59321,127512,159046,194961,171021
