Mass (avg),RT (avg),25mM LG_unlabeled254,25mM LG_unlabeled263,25mM LG_unlabeled266,25mM LG_13C-labeled262,25mM LG_13C-labeled264,25mM LG_13C-labeled272
142.0244,7.15,45364357,13410536,46870027,47603217,46191501,35024197
388.0338,7.14,10906794,11258799,10817433,11075229,10588175,9429705
306.0306,7.14,10707147,11564246,11348352,11195725,11104196,9293237
470.0363,7.14,9370910,9738091,9393388,9447390,9203763,7791675
224.0274,7.14,9377335,11255683,11165807,9671310,10159464,9130298
552.0394,7.14,8446738,8917334,8507654,8512225,8270417,6984503
607.0813,8.88,10989126,10961401,10714565,631111,644072,1
97.9769,8.44,2637891,3195387,3108546,3418768,3206020,2602157
634.0425,7.14,6684731,7095673,6835269,6846157,6667454,5542549
716.0455,7.14,5968934,6134291,5915585,5983457,5711534,4688045
93.0417,6.19,5542373,5834825,5489947,6443742,6040495,5743995
157.9983,6.82,4955108,5348525,5793315,3716191,4694292,1006644
307.0839,8.41,6078654,6271556,6792118,3171670,3905910,16230
93.0418,7.24,3297844,3308823,3596709,3561905,3307335,3561835
149.06,8.39,2310532,2151802,2176210,2479075,2507080,3749711
299.9504,1.16,1323860,1385848,1314152,1342778,1443389,1120480
97.9673,9.06,1446813,1414652,1383760,1500348,1462647,1546134
798.0487,7.14,3099531,3223062,3109935,3141973,3050892,2468961
186.0836,7.24,3326040,3308093,3610641,1531164,3392933,3590403
620.1248,8.88,1,1,388,3263004,3524373,625
146.0692,7.97,2253285,2429500,2457725,1566797,1998517,1267
218.0105,9.69,3331327,4371794,4344758,2005752,3694553,5236875
880.0515,7.14,2823125,2943529,2779180,2818521,2699061,2237504
347.0631,8.17,2288346,2205474,2424871,146153,166195,1
618.1185,8.89,1195,1,1018,3071553,3389025,1387
147.0533,8.39,1929607,1968156,1996613,863827,1066483,3689
962.0557,7.14,2365991,2506670,2374986,2416244,2307502,1813392
256.2405,1.3,2011241,1142913,1962922,905276,1177253,901041
284.2717,1.29,2007278,1051400,1785598,973415,1193792,1052486
113.9929,7.3,777434,714948,398661,242231,641811,323179
113.9929,7.05,739879,661394,1041027,740450,1094780,399405
213.9869,1.33,8609,17776,13507,20085,19634,16653
93.0417,7.04,584261,659236,723879,730625,607856,737937
240.067,1.22,507859,257036,465254,199033,185304,240907
134.0216,7.97,1459891,1235213,1562158,312332,703958,35731
886.5566,5.63,3156157,2967898,2861004,1042343,960282,1
186.0836,7.24,3291134,3305554,3603391,3586093,3409047,3573565
222.0602,7.04,1301734,1303301,1225586,1273866,1334133,1352471
580.0343,9.53,1819661,1967702,1978702,207800,251969,1
314.086,1.25,863220,450981,891056,337680,436468,416257
215.056,8.1,1450402,1342982,1491511,652377,755123,1
405.0612,8.42,1783895,1738489,1649294,881073,1048041,1473
1044.0578,7.14,1788924,1898512,1749295,1779128,1742733,1299291
791.5655,1.73,2037776,1905598,1844405,481865,1,974
126.0066,7.04,1234922,1283585,1139864,1259759,773243,6135917
743.5463,1.73,2406112,2269459,2283522,981987,944232,1
819.5985,1.73,2313014,2358955,2122167,608020,589436,623
133.0376,8.56,1485337,1248946,1105971,493296,604756,380
352.0797,8.17,1,2565,1,1202343,1351139,2460
90.0315,6.19,1104649,1047287,1290947,201388,212201,33029
240.0673,1.28,480757,314777,626805,249445,356579,392757
886.5573,1.75,2190659,2109526,2086779,1210576,932953,1
615.108,8.88,1,1,1,1415987,1588098,1
767.5454,1.73,2062393,1934011,1853725,1576725,1527793,1
338.9129,1.44,377957,1722640,75411,438679,99738,62575
317.1243,7.98,1256858,1330136,1341162,727023,812027,1
748.527,1.73,1725080,1663964,1608803,132274,135608,1
233.0438,1.24,579698,1230620,306367,2022029,1289917,316135
169.997,1.33,7807,11027,6380,11044,7052,9188
300.0765,7.27,1408067,1012712,1065351,1117881,1131321,1184393
300.0765,7.05,822219,727494,711265,746839,748762,721465
75.0311,7.24,72250,445280,563769,719835,399176,353684
126.0066,1.23,192899,239113,250393,929470,350094,543013
612.1514,9.57,1268468,1312110,1334170,864649,938037,14951
175.0481,7.89,941773,874367,796847,137255,194018,1
186.0835,7.09,384387,139038,235916,200799,221538,186740
224.0447,1.25,623564,417110,234991,295435,255008,211869
126.0066,8.32,120294,134079,118569,248716,173836,38012
324.0361,8.27,821470,824524,865349,55793,68538,797
258.8263,5.88,824291,802709,774592,805453,747188,769598
765.5316,1.73,1550002,1549790,1449045,726386,712112,1
126.0066,6.93,1,1,1,1,1,1
202.033,9.24,758871,1093062,1100700,556168,687370,395768
243.0873,8.71,845945,507454,935236,239942,422642,1
222.0602,7.31,514590,355480,454043,294771,522745,773161
124.0554,7.24,425314,645502,693149,219078,681114,673893
622.1315,8.88,1,1,1,1199687,1299123,188
142.0243,1.79,1,228039,1,1,37883,1
789.5511,5.59,1533714,1496256,1386529,541071,535257,5704
466.3113,1.27,1200968,1136606,1082527,925037,900264,2304
93.0418,7.09,413960,190964,275711,189332,222290,186745
119.0584,7.76,661253,651146,721549,413605,539308,1
156.0092,6.98,487693,352097,1,59793,106518,16278
293.9308,8.44,182406,357207,343972,397475,349925,324019
845.6139,1.73,974622,1107910,1042100,339603,375055,1
93.0418,7.24,3351179,1634491,3600195,3560710,3477143,3561835
256.8294,5.89,923004,745267,1236088,709319,755098,740914
131.0948,6.56,665688,573907,686974,431587,530089,163
402.0675,8.46,701426,680017,720369,236351,274236,1
613.1017,8.88,3667,1,503,1607950,1732892,1
282.2562,1.29,638066,558476,681932,389386,457231,42867
314.086,1.22,863414,450958,104299,337680,436497,86568
218.0105,9.68,4552116,511009,2426862,4794876,3694553,622338
300.0766,7.29,1228759,1012712,1008943,1098401,1131321,1184393
62.0276,7.24,484694,643052,681905,705560,653583,664252
403.172,7.98,735685,721363,767788,286368,403659,1
300.0881,1.27,214654,60921,240823,31032,68952,103815
717.5297,1.73,1070923,1046628,1095079,450477,435017,975
375.9995,9.69,338321,314077,434562,364829,217143,728349
744.6044,1.73,1,1,1,948067,903695,1
315.1264,7.31,711493,652704,718831,448533,592087,10844
240.0846,8.21,597300,521708,566296,358551,427906,1
744.6204,1.73,250923,242509,232503,924750,915932,5641
715.5157,1.73,1030718,1079791,1033368,306365,277755,1
418.3294,1.27,208081,55399,166731,46559,119038,130643
817.5829,1.73,1042695,1075553,1130428,243796,245521,1
300.0766,7.25,705624,596368,562880,633648,648589,1184393
884.5405,5.63,1242692,1212080,1181872,222019,230681,1
165.0791,6.51,513868,531252,549902,329901,438471,1
614.1045,8.88,494,712,1,711424,784807,1
135.9021,5.46,333360,434155,319015,153706,363817,250598
256.8296,5.89,923008,745280,1235788,709333,755128,740905
113.9929,8.31,46282,1,152028,104230,1,1
177.9433,8.44,327867,390224,403054,437830,399240,308627
591.071,9.53,1,1,1,563868,706612,1
2170.1132,7.14,571354,618807,580313,585257,581473,444950
224.0447,1.12,1,1,1,1,1,1
340.9111,1.44,36662,818421,29512,166657,47390,17287
789.5492,1.74,1021750,935427,849618,317700,317672,1
216.0402,5.58,251475,29308,601298,313542,288905,445191
126.0065,9.24,267160,217368,217230,170054,171303,1
836.541,5.77,820113,845383,786735,64316,65984,1
264.0803,7.13,408647,386729,397169,200682,425864,473543
353.293,2.14,238212,473480,438625,150807,249347,101239
884.541,1.75,1049617,1000609,957051,202003,186122,3355
93.0416,6.36,195484,32744,1,186919,1,475213
182.0774,7.11,194713,370512,222471,222205,314392,235801
75.0312,7.23,123540,445020,563769,722468,296162,78423
224.0447,5.41,227091,275402,152726,338550,332212,109945
168.0731,7.24,502618,272996,96395,81714,126911,282143
101.0112,7.04,65956,224607,144793,141466,330196,73212
247.0371,8.4,378974,335145,293723,365936,330321,224279
762.5877,1.73,384158,371076,419877,247206,1,7002
166.0481,1.23,135362,72725,150571,57805,59887,66630
448.0708,1.23,354893,241678,425031,232058,267968,175536
761.5203,5.63,828325,785747,776550,210718,179986,1
130.0065,5.48,184086,178703,101337,249768,295533,304777
2006.1129,7.14,356592,407752,359904,380574,365853,277925
119.0485,7.25,223370,64546,186467,224548,361635,134538
304.0914,8.46,408793,407987,408761,138585,159234,2365
329.0512,8.27,14556,15255,1319,337873,410338,13057
226.0695,1.23,152953,56757,164400,66563,68738,73629
175.0481,7.81,359084,307583,373436,51028,88039,1
62.0276,7.05,159446,123644,187524,128574,186494,177568
326.1915,1.36,476529,216479,419830,222542,279361,193105
218.066,8.1,1,1,1,381292,430628,1
266.1551,1.3,1,1,1,106984,87026,1
743.5468,2.29,916835,889198,763421,369030,341720,1
246.105,7.24,524270,122861,501475,284640,312148,493381
374.0182,7.11,414382,448524,442567,432787,453423,310402
222.0602,7.27,86605,144270,148850,117056,167850,296845
474.2898,1.24,549399,482949,511066,426881,514073,102521
921.0536,7.14,366436,402626,367524,363519,368134,323655
134.0215,8.19,181592,72186,531394,154544,288021,26350
320.1336,7.98,2923,1,1,435036,476968,1
258.8263,5.66,501357,440186,454246,458695,488760,124379
306.0757,9.57,1183645,1312148,1322559,857502,986397,6950
74.0002,7.05,156074,257061,66379,143439,115904,86912
131.0949,6.68,610175,360209,346025,196706,293783,253
470.0366,7.19,152021,199198,475188,146646,71689,280186
