Mass,RT,SXT-col-ck-1,SXT-col-ck-2,SXT-col-ck-3,SXT-col-7d+13c6-phe-1,SXT-col-7d+13c6-phe-2,SXT-col-7d+13c6-phe-3,SXT-col-2d+13c6-phe-1,SXT-col-2d+13c6-phe-2,SXT-col-2d+13c6-phe-3
192.0424,3.28,3049668.053,4258146.637,3645752.994,12470074.25,12814402.87,12609881.17,1060206.382,2781726.656,4781465.829
956.1429,4.43,2913516.133,3989364.925,3413865.159,7332603.821,11212008.62,9252262.59,4213692.949,4666086.669,5267099.32
480.072,4.44,7071710,8447972.061,7621826.687,12118249.21,14969801.07,13868698.34,8802929.221,9326386.949,9989664.221
484.2804,14.46,9748352.441,1,6843701.784,1,1,1,1,1,1
278.2244,13.34,1,1,1,1,1,1,1,1,1
448.2493,13.06,4303901.313,11620048.1,9823152.198,1,1,1,1,1,8938482.819
506.2648,12.28,10730172.9,5292097.415,8073191.391,1847837.552,2387996.92,2161937.968,2505177.233,3199118.672,2579004.788
192.0273,1,339689.4592,453355.4578,17920.94249,832245.1685,3660045.995,1985850.49,510583.5114,495579.9182,258045.8475
270.2199,12.14,1,3567.779071,1,6281486.309,9440691.164,7837508.361,1,1,1
976.2147,6.36,7716764.57,7443945.692,7528566.978,10046029.47,10643196.08,10321970.35,9230704.74,9309492.051,9833927.413
508.2788,13.28,10147832.22,4506747.971,6486306.178,1,1,1,2299783.938,2689674.3,2239057.681
563.3222,11.62,10344712.44,5974083.11,8557303.155,1386847.751,1986561.867,1706648.873,3986035.185,4856142.259,4188463.626
978.1252,4.47,5836964.727,6781723.519,6278387.744,6364592.833,6315185.077,6484419.185,6821612.897,7148744.836,6299362.063
437.2626,16.38,1,1,1,1,5447791.345,2899782.62,1,1,1
162.0534,1.44,10132905.12,8800980.336,9521621.388,2030190.868,3286911.571,2790247.211,7306430.27,6555377.815,6543687.789
432.2281,12.72,1,1,1,1,1,1,20528840.74,19132075.52,18038635.54
790.2677,6.74,5590109.379,7238687.239,6353944.77,7729757.575,9026827.69,8533237.115,2089859.933,5825583.454,6910738.831
339.0959,2.03,3226067.432,4671890.71,3819194.134,3004770.45,3054535.378,3087081.49,2141318.592,4888730.206,8201829.463
914.4673,13.22,4416621.194,6322757.221,6040087.709,929371.6656,1,3204916.315,8950233.59,8401737.027,9487947.156
117.936,21.39,8806238.09,9093978.335,9118849.261,9105377.815,9143448.111,9033521.359,9029588.658,9024525.348,9214214.416
418.1481,3.17,7959085.343,6783957.124,7356838.716,3560830.246,3386027.19,3506038.494,3364160.818,2884528.418,3551607.099
482.264,12.65,327643.292,181117.7407,253445.3113,9061101.673,5439061.427,7022951.908,61435.30984,76671.2486,58461.30953
565.3382,12.34,9047005.711,5309699.875,7570021.54,1095509.58,1325094.228,1242512.407,3526930.312,4125658.54,3443336.362
616.1729,3.96,31969.16339,14405.59441,14578.94293,7184080.088,7202210.754,7110181.342,8989777.056,9133424.7,6331600.352
134.0219,1.06,1593237.042,1810488.048,1703141.955,5754703.099,5388561.039,616225.6141,3333637.723,3044709.988,2337251.429
726.2155,5.83,1385365.702,1476388.342,1392953.658,7063028.064,8002656.598,7544831.663,1091028.483,1928273.821,2828917.137
493.1111,6.06,2495353.024,2874003.343,2731642.854,8067172.948,7340637.012,7705685.655,3881584.05,5056601.817,6193594.92
866.4703,13.82,1,1,1,8601365.482,8697109.681,9049153.46,17190.28768,15903.29934,23018.56928
278.224,14.94,797077.1168,1,1,135557.0006,332613.784,224705.8288,15408122.87,12679208.97,15795239
914.4678,13.23,3813974.96,2110894.558,4275758.315,1,1,3207282.433,8959839.236,8401159.979,9488646.789
930.4061,4.39,7284032.658,4840731.229,6124298.484,3434113.183,391272.2918,979898.9408,1864789.055,1370483.998,1205953.039
479.0964,2.41,1211631.386,905022.8075,1169411.849,5905529.861,7681323.966,6918129.791,1187461.802,1494912.452,1185658.58
464.0562,2.09,1477933.001,1685129.442,1749336.16,5156113.59,7438794.963,6398978.373,1015580.982,1332441.08,1218338.932
514.2297,13.4,6183313.224,3966675.027,7507038.141,1303215.413,1676884.902,900403.5428,290294.4195,1419533.343,2327381.925
