Mass (avg),RT (avg),[Area] QC1-POS,[Area] QC2-POS,[Area] QC3-POS,[Area] QC4-POS,[Area] QC5-POS
174.1118,2.64,1201371,1240691,1202742,1215857,1197981
174.1309,0.98,2099292,1977300,1982982,1955047,1945728
175.0037,1.64,72893,67381,65117,70461,63667
175.1319,1.54,433790,2579105,167276,2000476,2019325
175.1322,1.54,2578212,2577524,2597922,39591,2552229
176.0993,2.3,121716,115881,108414,128683,117439
177.0517,2.39,61996,58391,54936,62983,51815
177.1107,1.11,25495,20922,21712,18619,18907
177.1265,0.47,7548,9874,11065,10560,11366
177.1268,0.81,674255,648293,657539,654842,654706
181.0506,1.6,194994,221682,224467,228681,240279
181.9984,1.65,9794,9583,9360,9088,9866
183.0383,2.91,89768,380610,380727,350977,116842
183.0488,1.6,15176,16027,18805,17438,19541
184.1204,2.64,1171144,608376,1235412,1202433,1199593
185.2143,0.75,69102,67698,66310,66146,67636
185.9876,1.74,1203565,1236911,3027808,887506,1250171
185.9881,2.05,15320,152003,3031643,4466,159588
185.9882,1.82,951253,1524151,3028720,644997,1625493
186.9915,1.83,147897,139701,149244,145346,158854
187.0619,1.5,93147,68907,75154,69187,96102
187.1322,1.87,16884,16885,15831,17069,15964
188.0494,1.29,13369,14031,14136,14695,15001
188.1277,2.58,32467,28944,33256,21206,32843
188.1535,2.57,59445,65514,67411,45859,65972
188.9803,1.64,5522,4285,5123,5313,4729
189.1227,2.05,36749,36122,34132,33380,34125
190.0588,2.76,5158,4110,6744,3822,4516
190.1202,0.37,75800,37958,45101,76099,41040
190.9754,1.67,59207,60384,63401,62129,62329
191.0324,1.57,17379,15443,20345,17201,14185
192.1362,0.46,706978,736294,842067,890641,829006
192.1363,1.37,32015,33163,37234,32485,29433
192.9906,1.66,74730,76632,73225,74439,75863
193.1103,1.65,58414,55055,56847,54123,54806
195.1382,1.48,254274,268929,242523,265235,258313
197.1164,2.47,7925,7844,6599,7733,7262
198.2089,1.11,33694,24468,31512,31052,29493
201.1478,1.55,1234995,1170781,1176148,1158165,1135404
201.9621,1.72,31246,32135,29113,27581,32131
201.9621,1.86,70634,67970,53042,86478,31466
201.9897,2.88,38820,45208,42584,46923,44746
202.0454,1.86,28248,37632,28706,33133,39935
202.1431,2.43,157888,148958,158927,160860,168305
203.1158,1.64,197212,188888,191048,188251,188231
203.1639,1.49,42392,41378,41378,42784,42423
204.0746,2.66,23857,25355,22287,25147,25479
204.079,0.36,11469,11974,12024,10541,10756
204.0901,1.5,259058,242502,241566,252634,253821
204.1215,2.21,19599,18297,15807,19394,18408
204.1365,0.37,60998,56177,56262,60378,62817
204.1475,2.63,12917,12664,13015,12815,14635
204.9544,1.64,31239,29079,29916,30418,30408
205.0758,1.3,26876,29515,31065,28128,29914
206.9525,1.64,5131,6205,5814,5050,5145
207.0064,1.58,31671,33494,34041,33606,32064
209.1628,0.46,323252,305201,305356,249616,330773
211.9927,2.01,53654,56220,58447,53535,57515
212.1138,1.93,9816,10737,12199,11023,10415
213.1475,1.59,10198,18706,11218,13914,12046
213.1478,2.63,230324,231379,217683,217540,234940
214.0237,1.59,17551,17569,19049,17533,17537
214.0737,2.88,43733,44901,43959,42825,42994
215.0148,1.97,27246,34782,37452,36923,41544
215.1636,1.55,33262,31745,19512,30850,29231
215.164,2.52,28902,11228,10514,10003,6019
217.9359,1.69,60465,73457,74506,59518,64731
217.9362,1.6,49960,47393,47585,61847,59615
218.0192,1.86,6595,6327,8049,7436,7318
219.1107,1.34,14265,13988,13732,14374,14794
220.1788,1.58,11341,11167,14039,12691,14057
222.0201,1.3,30987,30630,30528,30923,30676
222.1852,1.58,5996,8115,6173,8310,6461
223.1181,1.35,134333,122135,131883,128122,134166
224.0159,1.3,7626,6959,7362,8040,7722
225.0376,1.82,5248,11371,6293,7396,13803
228.1472,1.71,27762,27987,29824,25434,26256
228.1474,2.11,87648,81970,77451,68276,74990
229.1367,0.97,203766,169845,161259,182245,164326
229.1641,2.73,16372,17079,17558,16505,16928
230.1524,0.39,15932,15205,15688,12788,15962
230.9769,1.67,14056,13382,9078,8051,14710
231.1472,1.42,96503,91760,96672,93578,90236
233.1739,2.52,21452,21704,23419,22749,22778
233.9099,1.68,404072,427227,425023,424638,427845
233.9099,1.61,75682,82731,85802,84446,85192
234.0851,2.72,4928,8458,9646,9145,8211
234.1468,0.38,37188,38138,44241,25599,44667
235.9078,1.61,95820,22972,21185,15067,87329
235.908,1.69,194,72344,102558,103500,87329
237.9065,1.68,7527,8357,9400,9019,6834
240.0239,2.86,21950,31747,29916,30131,30697
241.0718,1.65,130019,129229,126644,128489,6674
241.2769,0.6,26896,80984,73845,55062,76154
242.1267,1.29,24125,26334,25006,23074,25688
243.0704,1.64,12797,12317,11982,11441,12767
243.1943,1.49,72045,81002,161632,80001,83778
243.947,1.72,8099,8518,12701,12037,8949
244.0311,2.86,24556,26449,27563,28197,24735
245.0256,2.07,12310,15540,17243,16921,16545
245.1623,1.33,39172,35114,30518,35135,19351
246.1368,1.12,160866,120768,140189,131577,140612
246.1581,1.95,96297,102686,110438,98456,99370
246.1945,1.59,5315,6331,8483,7847,6800
248.1625,0.39,96846,121611,94161,101831,44793
250.1294,1.72,7266,8524,8670,6921,6197
250.1781,1.37,97991,148163,100976,102237,98550
250.1783,0.39,2420727,1660620,2300347,2337976,1631869
250.981,1.84,12901,12015,12962,11971,13363
253.9756,1.83,101771,31506,56148,33188,27277
253.9763,1.73,37898,29382,55367,15493,21885
254.0577,2.49,16536,15162,16239,16112,15788
254.1889,0.36,15642,15902,17628,16916,19189
255.0096,1.88,11045,12752,11690,11395,12561
255.9748,1.68,21708,24709,23001,24097,24896
256.1397,1.57,22513,24786,25473,24470,25625
257.103,2.23,879225,910831,935841,946536,929474
258.2131,1.31,59019,57696,42087,60280,38263
259.202,2.5,60931,60659,61892,63349,60874
260.1779,2.74,19419,17474,19906,20580,19458
261.0968,2.76,6077,6774,6497,5614,6749
262.1778,0.38,28463,26224,23675,26644,19454
264.1114,1.33,137211,120701,112974,124542,129736
265.0901,2.04,23433,26677,30016,30304,15459
265.1885,0.38,50674,45482,52921,55170,55899
267.9911,1.75,3502668,3733623,1840945,1899502,2098778
267.9913,1.82,3502767,3733356,1944519,1882991,1752035
268.0808,1.25,45382,45996,47099,47084,47325
268.2043,0.36,6087,4829,4584,4360,5669
269.1757,2.43,15028,19336,18995,18460,19437
269.3087,0.64,57795,50899,46551,50196,23824
269.996,1.76,61497,72389,73335,74201,74439
272.1139,1.59,133869,146117,159134,164361,165443
272.1597,0.47,375611,538989,526465,561674,544378
274.1034,1.44,7019,15581,14507,9240,7675
274.1125,1.59,13667,14742,14981,14210,16110
274.221,2.38,96691,96990,71999,97517,98781
275.1119,2.71,13463,16683,15451,15651,15837
275.9574,2.88,12936,14633,15739,16566,16182
276.0958,2.82,11770,19068,24847,17668,18435
278.1851,2.05,18894,18826,32708,23192,21181
278.2098,0.38,21525,27291,25235,26976,25144
279.1128,1.27,28659,29170,32742,32149,32862
280.2039,0.38,29563,39134,36216,28561,34188
280.2406,0.38,112635,105203,99722,105075,114023
281.1859,0.38,136109,134069,119381,133219,134158
282.1557,1.57,13731,16379,15244,16043,16794
282.2203,0.37,15793,18889,20819,19560,18103
283.3238,0.62,66980,66075,64364,65441,67283
283.9647,1.72,54789,50227,49591,46629,56192
283.9654,1.84,78180,96176,100338,56529,90343
284.1114,2.79,12762,12234,11846,12170,10277
285.0687,1.22,59369,52261,60715,52392,59446
285.1939,0.37,15777,21799,17983,18131,22629
285.1941,1.13,79662,65821,49512,58084,58358
285.3031,0.7,48649,49592,38210,48683,45417
285.9629,1.72,6791,2958,5410,5359,5090
287.0675,2.27,69698,68193,71341,66056,70149
287.2113,1.07,41365,42430,36459,40139,39806
288.1338,0.46,201897,230570,126778,129736,149779
288.9518,1.68,21099,22067,21645,20730,20068
289.2397,2.44,7783,6282,6843,5967,6590
290.1315,0.45,30688,12650,40094,18056,25511
290.1318,0.4,30568,21939,39465,7835,6576
290.9675,1.67,24412,25273,26572,25834,23397
291.1908,2.65,59527,62108,62850,66868,64723
291.8687,1.6,6759,10500,9717,6320,5027
292.189,0.38,67320,75584,65995,75471,73808
292.225,0.37,41958,48162,40918,43670,44208
292.9661,1.66,9069,9486,9039,8079,10339
293.0884,2.27,19323,20815,24857,24185,20975
294.0409,1.31,11460,10558,9834,11838,11453
294.1425,2.93,13506,15160,14521,16790,19608
294.143,2.67,39501,43008,66714,54700,73311
294.9657,1.68,11118,11357,12362,11292,11331
295.2356,0.38,35964,33936,39671,28490,34972
297.0179,1.98,33711,42326,44637,45675,47950
297.0564,2.22,21118,22810,25241,25732,25833
297.3394,0.62,114586,95280,115451,100237,101982
298.0011,1.72,5915,5745,9041,6500,7272
298.1293,1.59,72395,82266,89994,93166,98738
298.2512,0.38,39856,43814,45296,53304,52043
298.9031,1.68,15041,14831,13868,13562,12498
299.1943,0.48,19409,14971,62637,71114,71416
299.2487,0.36,26473,29247,34938,28975,26584
299.939,1.71,8139,5264,8509,6257,11230
300.1634,2.67,11509,12343,15764,18036,11031
301.1994,2.65,61051,55719,63526,62145,62593
302.0671,1.35,7108,6658,5318,5998,5847
302.9314,1.64,7831,9714,8712,7749,8902
303.2051,1.35,14259,14317,12988,12175,8324
304.119,0.38,12163,3890,15230,5114,4273
304.1885,0.37,17688,14788,14937,20116,15105
304.1899,1.11,139734,101536,117674,93752,101284
304.9831,1.59,6429,5482,10882,9926,11441
306.2058,0.38,67671,102492,68709,98695,86275
306.215,0.46,14770,8926,28939,9743,11221
307.1,1.77,8049,9015,7362,9629,8685
307.2342,0.38,187167,13247,35254,36818,11477
307.8431,1.69,17463,17239,19204,20582,10744
308.122,2.49,31251,28395,28001,31350,30791
308.1585,2.73,54317,53500,59039,52017,53036
308.1587,2.94,31727,28505,28982,33694,30106
308.1833,1.86,24421,7101,23032,20987,20149
308.2203,1.37,52284,148467,32875,74311,53871
308.2206,0.39,1939469,1284522,1678122,1589878,1595160
308.32,0.55,4279,1869,2752,,6123
309.8401,1.69,11458,11814,10409,11481,12778
309.8938,1.59,6238,8088,11070,13647,11944
309.8949,1.69,11661,13371,27031,29015,19317
311.2305,0.38,45055,51027,65651,64376,77815
311.319,0.7,51045,45812,43547,46102,41812
311.3551,0.65,175745,116445,182674,169239,196677
312.1363,0.36,160698,153184,162712,164259,156366
313.1739,1.4,17639,13057,15799,15324,15598
314.1565,2.05,15874,14730,16308,18105,13858
314.1789,2.73,23968,26848,22323,26427,20636
315.913,1.68,44285,51060,83522,57605,51954
315.9133,1.6,26909,28890,80214,27791,30350
316.1732,2.73,35431,40456,40222,35421,38081
316.1732,2.93,16616,16902,22893,21052,22159
317.8711,1.68,15340,10092,9562,9669,8285
317.912,1.69,19874,17934,19696,10708,19758
319.1765,2.96,10370,10569,9928,9379,9402
319.8689,1.69,5238,3671,3039,3699,3454
321.1351,1.33,19890,23713,24030,22522,23642
321.2892,0.37,17620,20206,18644,19794,16969
322.1633,1.34,27859,29813,26166,27932,25188
322.1988,0.38,73743,71640,76282,70888,74509
322.2101,2.04,38255,51440,50917,53732,57595
322.2359,0.38,27145,38893,23945,22393,32009
322.2853,0.36,16712,14638,14305,15179,15622
323.033,1.79,27457,29116,22712,5594,25494
323.2309,0.38,119642,110957,111337,111987,110943
324.1451,1.59,13336,18124,17854,19942,19881
324.3032,0.36,13371,14344,12832,11467,13865
325.0483,1.72,40386,46566,44471,45622,46219
325.2053,0.38,21567,19851,22369,18820,23101
325.2465,1.36,13609,13540,12995,13879,13719
325.247,0.39,816767,785289,814062,803753,768198
326.2099,0.37,24482,24491,24374,21325,27135
327.0282,2.08,11131,15945,18024,16425,16414
329.329,0.69,83120,62762,83378,74428,64159
330.2015,0.46,526082,363975,279088,272123,297309
331.887,1.68,196000,209961,210880,214501,214787
332.2352,0.36,35703,34177,36913,38678,33605
332.9857,1.84,15540,17241,21167,20222,17321
333.8852,1.61,8956,8476,11228,11209,13301
333.8861,1.68,62050,66109,64105,69786,66176
335.3036,0.36,40302,36082,42769,47213,42307
335.9786,1.83,44390,29686,27171,13514,25525
336.1024,2.2,25650,23686,22413,24264,24283
337.0129,1.88,9689,11106,10618,11038,11491
337.0638,1.3,2659,2497,2349,3689,3234
338.2828,0.36,23024,23634,17568,19980,20136
339.0487,1.66,12318,14149,14843,15844,14897
339.2258,0.38,170726,183420,167140,169281,169132
340.265,0.38,27830,25674,16383,23916,25426
341.1947,2.26,22779,21471,22480,17605,11890
342.1471,0.36,20345,22054,21408,22024,20510
342.2266,1.7,7879,8554,9740,8998,8131
342.3618,1.36,9427,11762,8710,9500,8719
343.0268,1.88,2938,4453,4168,3015,3672
343.2131,0.37,61177,100460,54041,80144,69926
344.1812,0.37,34318,45126,44889,15407,29926
344.1925,2.04,9540,40159,15556,34030,40463
344.2173,0.38,43835,42187,54818,40431,43897
345.2096,0.37,33660,20085,34827,38291,31404
348.1752,0.4,60256,25940,68388,24531,16803
348.2214,2.63,33183,32888,39804,38582,36958
349.3199,0.36,19265,18476,18647,18763,19059
349.9241,2.88,8000,8819,9928,11060,9939
349.994,1.75,2164982,2302590,2319443,2382336,2397105
350.0995,1.67,2905,,947,,1993
350.2123,1.5,127857,128476,125728,124863,129118
351.2287,0.38,17987,21750,17570,19875,20738
351.9213,2.87,4018,4768,4517,5089,4140
351.9986,1.77,55508,57097,60298,60345,60013
353.2413,0.37,18091,25844,14149,21058,17834
353.2913,0.38,36527,85615,117289,56256,112869
353.2933,0.63,91996,75730,87834,96794,85644
355.2727,0.36,19794,25472,20980,15475,23041
355.345,0.66,112644,96786,110286,81785,75107
