Mass (avg),RT (avg),[Area] QC1-NEG,[Area] QC2-NEG,[Area] QC3-NEG,[Area] QC4-NEG,[Area] QC5-NEG
270.0952,1.47,120344,120315,124716,119739,120044
276.1152,1.47,46930,30827,39971,45502,41256
278.081,1.23,91330,11309,89936,4837,7918
278.2245,0.38,129761,138209,126169,137135,71658
279.1323,0.53,16524,16463,11673,12144,6251
280.2406,0.38,499736,518754,553568,527027,522132
281.0851,1.65,18107,20808,17445,20088,14186
281.9522,0.39,19454,14133,17735,15875,20233
282.2561,0.37,604025,641302,627403,632266,607535
284.2712,0.37,105178,105342,107453,102085,106413
285.1057,2.25,42714,204302,62679,59650,61003
285.1058,2.15,125350,203527,142415,141588,123257
287.0673,2.28,28661,23385,29113,32257,26122
289.113,2.25,25767,20461,22522,19722,22995
289.1132,2.15,39978,42896,46613,28482,39338
291.126,2.25,21404,20053,21699,23743,17307
292.0147,1.74,73388,80525,144902,134823,131020
293.1475,0.51,24369,28287,25704,30163,18599
294.0407,1.01,228956,264217,250600,253881,253487
294.056,1.57,61243,35090,43069,34805,52997
294.0562,1.45,58102,45154,60581,58620,54583
294.1425,2.67,15521,13400,23360,24696,25462
294.2196,0.38,33842,26434,29438,34300,29609
295.1267,1.56,30626,25227,25150,26888,25623
296.2348,0.38,91202,93726,89312,87427,84973
297.1422,1.57,124339,131801,117205,124385,127149
298.2515,0.38,124059,120833,126483,122060,112611
298.2869,0.37,5578,6256,5470,5301,6140
299.1215,1.98,34753,90197,99676,105830,66969
299.1217,2.1,295399,332408,329200,330677,314861
300.0762,1.46,21436,19962,20747,11138,15299
300.0877,1.19,,21188,32440,21027,27135
300.1643,0.51,21227,24456,20442,17816,12768
300.2661,0.38,22477,23420,22387,24845,22624
301.946,0.35,18478,18337,17911,22537,19596
302.1732,0.36,33795,31488,28412,31926,30017
302.2246,0.37,27154,31885,27205,31367,31653
303.1614,1.58,58589,57335,51699,53425,47719
304.0189,1.2,34467,45332,34518,46619,38159
304.2404,0.37,237570,240236,231194,228413,228387
305.142,2.1,70763,122337,114494,121181,115882
306.0308,1.8,3895384,4103166,5362220,5474897,3948366
306.1122,2.22,28730,28596,29487,28963,29877
308.0349,1.79,119034,125027,131003,125316,131601
308.1578,2.75,25276,30969,29958,26728,26216
308.2717,0.37,12343,14350,13503,10572,13876
309.1059,1.57,71716,66046,64306,62625,56544
309.106,1.44,25872,35680,32934,36039,42832
310.1523,2.09,31414,56493,12438,54518,50072
310.2871,0.37,11550,12717,11697,11148,11212
311.1582,1.51,102387,173638,168382,174687,177738
312.153,2.71,19411,21204,22458,21286,17309
312.2674,0.38,13097,9376,7649,11822,11772
312.3029,0.37,9473,8214,8232,8420,7871
314.1204,2.22,40085,30599,40803,43528,43488
314.1782,2.75,3689,7304,13487,14374,11785
315.1243,1.57,32784,25910,31623,22245,25975
315.1244,1.89,12284,10786,12433,12574,9906
318.1243,2.16,22286,23610,21990,22080,26172
318.1245,2.28,30305,30592,30999,22464,27646
318.1749,1.49,112731,116506,111194,112533,119475
320.2347,0.38,155304,139907,142284,145600,142309
321.1312,2.22,20822,13085,16723,21404,19528
322.0042,1.7,305991,334818,346664,208123,181071
322.2506,0.38,21034,20817,23005,16890,21457
324.1953,1.49,35689,37066,29206,36412,39883
326.1324,2.16,3655,20827,122417,162344,109266
326.169,2.68,38135,47749,49115,47253,46213
327.1319,0.53,10562,14323,13387,14690,18888
329.1141,1.56,38102,36046,26089,21407,20323
329.1146,1.48,38183,36046,13615,16008,16176
330.2564,0.37,34306,30803,33517,27700,32455
332.189,2.69,15666,18736,17522,18882,15461
332.2717,0.37,16149,15033,16313,15071,16335
333.1425,2.22,47184,49050,47295,36761,14375
334.1826,2.69,31744,34817,36171,35753,35533
335.1288,1.56,51631,31674,37512,29607,46750
337.9785,1.61,29420,33354,29404,32004,32576
342.2769,0.38,17427,15316,17206,19871,15949
344.2351,0.39,47757,50719,52599,45143,57046
345.1422,1.48,83578,84751,82926,85689,82834
346.2508,0.38,21609,18411,17525,18432,20252
351.162,1.47,27980,29588,27528,28368,28681
353.1117,0.93,80642,33707,62386,11000,75695
353.2927,0.63,81075,35943,64539,63496,67277
353.9517,1.51,28313,28504,26712,30565,28270
355.1694,1.48,17676,16040,14942,17201,15728
356.2117,0.45,87657,56538,58407,84015,94841
360.2294,0.45,73948,68661,53110,63384,50019
362.1942,0.36,85100,81024,84149,79812,83301
362.2438,0.38,29465,31299,26317,11966,32780
363.088,1.79,16363,17915,16545,17150,13237
363.0885,1.63,21582,22721,24459,24983,22028
364.259,0.37,22242,26601,23569,21153,19532
368.1125,1.43,51098,37167,60473,54123,50328
370.1813,0.46,28534,71157,63200,23478,60619
372.2063,0.45,16570,72987,90023,104503,26948
374.0178,1.77,237329,180605,111355,107805,98294
374.1333,1.43,37787,43219,41730,38116,38684
378.1718,0.37,6985,7793,9210,10075,6100
380.2142,2.65,4943,5823,4021,6594,5914
380.2145,0.45,49144,46526,47593,42905,44402
384.1543,1.53,22308,9434,18512,8067,20902
388.0337,1.81,3943472,4999703,5061749,3939316,4030523
388.0337,1.69,939070,4997970,5060873,1188639,1130691
389.2694,0.63,74672,81662,62725,70091,75463
390.0382,1.79,144580,137133,142953,155256,146255
396.2084,0.45,35204,46466,41385,17121,39157
401.2641,2.65,24094,23373,24327,23020,23952
402.2479,2.17,15379,25453,19044,26780,12410
404.0073,1.7,399739,406132,403424,424370,433111
416.3138,0.37,18389,16766,18476,16289,17720
422.2344,0.37,17188,17735,14880,16222,17208
444.2542,0.36,30282,33045,32037,30405,32173
445.0905,1.78,19588,11308,15084,20241,16628
445.0913,1.66,17475,17455,21765,24098,23589
445.9918,1.73,29337,22091,23448,31516,21248
446.3398,0.45,139306,133616,55940,149627,158269
449.3138,1.04,120464,111985,100475,94642,119293
449.3144,0.47,48233,44410,41075,36265,44666
451.9292,1.51,10971,9848,10999,10297,10752
456.0208,1.75,192548,150211,124197,106117,125034
458.2435,0.45,26394,19377,14376,20327,20042
460.2803,0.44,16794,23295,23636,20986,21607
464.3502,0.44,32998,50039,26438,51495,64709
